# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas 
2.624734e-01 4.914362e-02 7.280319e-01 2.190071e-09 9.732713e-01 -7.739362e-01 5.718085e-02 9.470745e-02 2.460106e+00 -1.345745e-02 
3.184840e-01 4.831383e-02 6.429255e-01 1.882270e-09 9.559840e-01 -1.188830e+00 -2.779255e-01 6.550532e-02 3.035993e+00 1.430851e-02 
3.484840e-01 4.522872e-02 7.049823e-01 2.380142e-09 9.859486e-01 -9.739362e-01 -5.146277e-01 1.309309e-01 3.415780e+00 -7.712766e-03 
2.637500e-01 4.721809e-02 7.200532e-01 1.834043e-09 9.911791e-01 -1.018617e+00 -8.816489e-01 8.928191e-02 3.147695e+00 2.058511e-02 
3.199202e-01 5.002660e-02 6.466489e-01 2.346099e-09 9.781472e-01 -1.220745e+00 -1.928191e-01 1.446543e-01 2.628901e+00 5.585106e-03 
3.381117e-01 4.699468e-02 6.945213e-01 1.975887e-09 9.544770e-01 -8.994681e-01 1.688830e-01 9.151596e-02 3.659043e+00 -2.441489e-02 
2.805053e-01 5.016489e-02 6.416844e-01 1.984397e-09 9.838209e-01 -7.781915e-01 3.058511e-02 1.052394e-01 2.504787e+00 -9.202128e-03 
2.921543e-01 4.536702e-02 7.321099e-01 1.868085e-09 9.648493e-01 -1.039894e+00 -7.061170e-01 1.219947e-01 3.001241e+00 2.303191e-02 
3.470479e-01 4.725000e-02 6.872518e-01 2.384397e-09 9.789450e-01 -1.140957e+00 -4.454787e-01 6.949468e-02 3.448050e+00 -2.643617e-02 
2.651862e-01 4.770745e-02 6.739539e-01 1.987234e-09 9.580230e-01 -1.135638e+00 -4.055851e-01 1.374734e-01 3.341312e+00 2.856383e-02 
2.907181e-01 5.050532e-02 6.615426e-01 2.327660e-09 9.818706e-01 -8.388298e-01 -8.257979e-01 7.683511e-02 2.884574e+00 -2.218085e-02 
3.448138e-01 4.503723e-02 7.181028e-01 1.904965e-09 9.898493e-01 -9.047872e-01 1.582447e-01 9.438830e-02 2.718262e+00 3.882979e-03 
2.645479e-01 5.083511e-02 7.009043e-01 2.119149e-09 9.666223e-01 -9.845745e-01 7.845745e-02 6.566489e-02 3.284220e+00 -1.281915e-02 
2.961436e-01 4.510106e-02 7.275000e-01 2.252482e-09 9.925089e-01 -1.259043e+00 -7.513298e-01 1.229521e-01 2.844858e+00 -7.180851e-03 
3.390691e-01 4.818617e-02 6.494858e-01 1.794326e-09 9.710550e-01 -8.196809e-01 -4.587766e-01 1.162500e-01 2.623936e+00 2.143617e-02 
2.835372e-01 4.886702e-02 6.491312e-01 2.063830e-09 9.530585e-01 -7.505319e-01 3.470745e-01 1.119415e-01 2.690957e+00 6.914894e-04 
3.111436e-01 4.901596e-02 7.244858e-01 2.306383e-09 9.709663e-01 -1.270745e+00 -8.949468e-01 6.598404e-02 2.820035e+00 -1.196809e-02 
3.210372e-01 4.504787e-02 6.985993e-01 1.811348e-09 9.952571e-01 -1.082447e+00 -1.742021e-01 1.376330e-01 3.507624e+00 1.260638e-02 
2.655053e-01 4.773936e-02 6.400887e-01 2.194326e-09 9.528812e-01 -9.494681e-01 1.422872e-01 1.235904e-01 3.487766e+00 -9.734043e-03 
2.983777e-01 5.033511e-02 6.998404e-01 1.716312e-09 9.842642e-01 -1.246277e+00 -2.513298e-01 8.561170e-02 3.080674e+00 2.739362e-02 
3.475266e-01 4.692021e-02 7.118972e-01 2.473759e-09 9.728280e-01 -7.654255e-01 -5.704787e-01 9.710106e-02 2.748050e+00 -1.579787e-02 
2.671011e-01 4.916489e-02 6.808688e-01 2.468085e-09 9.719415e-01 -9.515957e-01 3.710106e-01 7.523936e-02 2.673582e+00 5.478723e-03 
3.127394e-01 4.768617e-02 7.269681e-01 1.804255e-09 9.957004e-01 -8.090426e-01 -4.960106e-01 1.285372e-01 3.155142e+00 2.601064e-02 
3.243883e-01 4.626064e-02 6.443440e-01 2.005674e-09 9.641401e-01 -1.255851e+00 -7.646277e-01 1.017287e-01 3.296631e+00 -1.675532e-02 
2.857713e-01 4.929255e-02 7.064007e-01 1.954610e-09 9.670656e-01 -8.569149e-01 -3.284574e-01 6.007979e-02 3.696277e+00 1.601064e-02 
3.053989e-01 4.851596e-02 6.533865e-01 2.253901e-09 9.891401e-01 -1.252660e+00 -7.859043e-01 1.181649e-01 2.829965e+00 -2.207447e-02 
3.253457e-01 4.512234e-02 7.163298e-01 1.980142e-09 9.574025e-01 -9.175532e-01 2.539894e-01 1.237500e-01 2.390603e+00 6.968085e-03 
2.774734e-01 4.971809e-02 7.227128e-01 2.086525e-09 9.933067e-01 -1.151596e+00 -6.156915e-01 1.263032e-01 3.629255e+00 9.734043e-03 
2.945479e-01 4.548404e-02 7.056915e-01 1.841135e-09 9.770833e-01 -7.601064e-01 8.111702e-02 8.417553e-02 2.534574e+00 2.909574e-02 
3.353989e-01 4.743085e-02 6.427482e-01 2.451064e-09 9.554521e-01 -1.097340e+00 -2.912234e-01 1.012500e-01 2.869681e+00 -1.632979e-02 
2.621543e-01 4.895213e-02 7.165071e-01 1.873759e-09 9.876330e-01 -8.292553e-01 1.329787e-03 1.023670e-01 2.373227e+00 1.867021e-02 
3.068351e-01 4.514362e-02 6.516135e-01 2.062411e-09 9.824911e-01 -9.441489e-01 -8.736702e-01 1.366755e-01 3.276773e+00 -1.771277e-02 
3.444947e-01 5.025000e-02 6.996631e-01 2.249645e-09 9.660018e-01 -1.297340e+00 -2.220745e-01 6.518617e-02 3.214716e+00 5.319149e-05 
2.769947e-01 4.937766e-02 7.074645e-01 2.043972e-09 9.547429e-01 -7.696809e-01 -1.396277e-01 1.302926e-01 3.621809e+00 -2.079787e-02 
3.002926e-01 4.509043e-02 7.010816e-01 1.941844e-09 9.995124e-01 -9.569149e-01 -7.220745e-01 1.194415e-01 2.678546e+00 1.377660e-02 
3.283777e-01 4.785638e-02 6.501950e-01 2.283688e-09 9.707890e-01 -1.240957e+00 3.337766e-01 6.215426e-02 3.011170e+00 -6.861702e-03 
2.750798e-01 4.525000e-02 6.775000e-01 2.269504e-09 9.696365e-01 -1.093085e+00 3.989362e-03 6.343085e-02 3.592021e+00 -7.287234e-03 
3.084309e-01 4.798404e-02 6.677482e-01 1.994326e-09 9.605053e-01 -7.015957e-01 -8.444149e-01 1.049202e-01 2.405496e+00 -1.303191e-02 
3.231117e-01 5.023936e-02 7.237766e-01 1.965957e-09 9.849734e-01 -1.289894e+00 -7.845745e-02 1.328457e-01 2.892021e+00 1.292553e-02 
2.640691e-01 4.710106e-02 6.407979e-01 1.808511e-09 9.856826e-01 -9.250000e-01 -2.672872e-01 1.347606e-01 3.023582e+00 4.202128e-03 
3.165691e-01 4.651596e-02 7.212943e-01 2.483688e-09 9.691046e-01 -1.280319e+00 2.792553e-02 1.108245e-01 2.641312e+00 -1.824468e-02 
3.492819e-01 4.955851e-02 7.025000e-01 1.978723e-09 9.658245e-01 -8.218085e-01 -5.492021e-01 6.422872e-02 3.418262e+00 2.122340e-02 
2.706117e-01 4.888830e-02 6.540957e-01 2.055319e-09 9.676862e-01 -8.547872e-01 -7.167553e-01 1.464096e-01 2.415426e+00 1.005319e-02 
2.990160e-01 4.515426e-02 7.314007e-01 1.744681e-09 9.589982e-01 -9.920213e-01 2.526596e-02 1.018883e-01 3.378546e+00 -8.138298e-03 
3.430585e-01 4.932447e-02 6.838830e-01 2.478014e-09 9.922429e-01 -1.223936e+00 -5.186170e-02 8.912234e-02 2.790248e+00 -1.122340e-02 
2.661436e-01 4.518617e-02 7.104787e-01 2.144681e-09 9.529699e-01 -1.053723e+00 3.324468e-02 1.033245e-01 2.487411e+00 -6.223404e-03 
2.955053e-01 5.035638e-02 6.732447e-01 2.358865e-09 9.816046e-01 -1.275000e+00 -2.885638e-01 7.667553e-02 3.544858e+00 1.164894e-02 
3.363564e-01 4.835638e-02 6.977128e-01 1.914894e-09 9.965869e-01 -7.473404e-01 -8.151596e-01 1.304521e-01 2.882092e+00 -1.547872e-02 
2.800266e-01 4.882447e-02 6.780319e-01 1.703546e-09 9.540337e-01 -1.215426e+00 2.114362e-01 7.093085e-02 3.093085e+00 -3.670213e-03 
3.148138e-01 4.902660e-02 6.572872e-01 2.123404e-09 9.817819e-01 -8.079787e-01 -7.593085e-01 1.239096e-01 3.681383e+00 -2.718085e-02 
3.251862e-01 4.588830e-02 7.133156e-01 2.323404e-09 9.853280e-01 -9.260638e-01 -1.821809e-01 1.188032e-01 2.554433e+00 2.962766e-02 
2.894415e-01 4.662234e-02 6.948759e-01 2.463830e-09 9.672429e-01 -1.001596e+00 4.454787e-01 1.267819e-01 2.484929e+00 1.579787e-02 
3.014096e-01 4.906915e-02 7.388475e-01 1.900709e-09 9.841755e-01 -1.257979e+00 -9.348404e-01 9.215426e-02 3.152660e+00 -4.787234e-04 
3.368351e-01 4.784574e-02 6.420390e-01 1.988652e-09 9.602394e-01 -7.718085e-01 -4.507979e-01 8.992021e-02 3.291667e+00 -2.164894e-02 
2.677394e-01 4.734574e-02 6.946986e-01 2.364539e-09 9.878989e-01 -1.229255e+00 -1.728723e-02 1.082713e-01 3.460461e+00 2.271277e-02 
2.916755e-01 4.627128e-02 7.319326e-01 1.974468e-09 9.527039e-01 -9.579787e-01 -7.327128e-01 1.421011e-01 2.601596e+00 -1.930851e-02 
3.334840e-01 5.057979e-02 6.707624e-01 1.865248e-09 9.673316e-01 -7.877660e-01 1.263298e-01 6.789894e-02 3.175000e+00 -7.925532e-03 
2.808245e-01 5.077128e-02 7.340603e-01 1.926241e-09 9.683954e-01 -7.888298e-01 -3.949468e-01 1.369947e-01 2.606560e+00 -6.436170e-03 
3.160904e-01 4.575000e-02 6.964716e-01 2.000000e-09 9.970301e-01 -1.171809e+00 -8.710106e-01 8.114362e-02 3.373582e+00 -1.686170e-02 
3.200798e-01 4.771809e-02 6.473582e-01 2.419858e-09 9.567819e-01 -1.011170e+00 3.896277e-01 9.263298e-02 2.852305e+00 2.154255e-02 
2.789096e-01 4.531383e-02 7.218262e-01 2.428369e-09 9.718528e-01 -8.803191e-01 -6.396277e-01 1.022074e-01 3.050887e+00 2.218085e-02 
3.018883e-01 4.800532e-02 6.512589e-01 1.720567e-09 9.504876e-01 -1.107979e+00 -2.380319e-01 1.280585e-01 2.546986e+00 3.723404e-04 
3.296543e-01 4.984574e-02 6.853014e-01 2.133333e-09 9.964096e-01 -1.048404e+00 1.023936e-01 7.763298e-02 3.443085e+00 -2.675532e-02 
2.765160e-01 4.788830e-02 7.207624e-01 1.862411e-09 9.930408e-01 -1.205851e+00 -5.305851e-01 1.427394e-01 2.800177e+00 1.239362e-02 
3.100266e-01 4.586702e-02 6.411525e-01 2.370213e-09 9.686613e-01 -9.877660e-01 -3.098404e-01 1.114628e-01 3.691312e+00 -1.643617e-02 
3.208777e-01 5.000532e-02 7.016135e-01 2.107801e-09 9.593528e-01 -7.303191e-01 7.579787e-02 7.715426e-02 2.375709e+00 -3.776596e-03 
2.862500e-01 4.578191e-02 7.379610e-01 2.330496e-09 9.784131e-01 -8.313830e-01 1.728723e-02 1.133777e-01 3.234574e+00 -2.398936e-02 
2.926330e-01 5.088830e-02 6.413298e-01 1.927660e-09 9.603280e-01 -9.952128e-01 -1.582447e-01 1.468883e-01 3.090603e+00 5.797872e-03 
3.357181e-01 4.825000e-02 6.911525e-01 2.173050e-09 9.886968e-01 -1.206915e+00 -7.460106e-01 6.805851e-02 2.475000e+00 2.069149e-02 
2.667819e-01 4.698404e-02 7.235993e-01 2.392908e-09 9.963209e-01 -7.664894e-01 -3.763298e-01 1.245479e-01 2.874645e+00 7.606383e-03 
3.063564e-01 5.027128e-02 6.955851e-01 1.721986e-09 9.539450e-01 -1.156915e+00 -7.672872e-01 9.646277e-02 3.351241e+00 1.250000e-02 
3.405053e-01 4.726064e-02 6.645567e-01 2.175887e-09 9.738918e-01 -1.009043e+00 2.699468e-01 8.385638e-02 2.465071e+00 -2.824468e-02 
2.643883e-01 4.722872e-02 6.961170e-01 2.492199e-09 9.646720e-01 -1.013298e+00 6.515957e-02 1.365160e-01 3.326418e+00 -1.452128e-02 
3.146543e-01 5.005851e-02 6.517908e-01 2.219858e-09 9.882535e-01 -8.813830e-01 -5.452128e-02 8.577128e-02 2.323582e+00 2.292553e-02 
3.414628e-01 4.663298e-02 7.170390e-01 1.778723e-09 9.668883e-01 -1.282447e+00 -7.752660e-01 1.063564e-01 3.038475e+00 4.308511e-03 
2.787500e-01 4.865426e-02 7.081738e-01 1.727660e-09 9.713209e-01 -1.244149e+00 -4.534574e-01 6.023936e-02 2.561879e+00 -2.393617e-03 
3.170479e-01 4.994149e-02 6.626064e-01 2.141844e-09 9.645833e-01 -8.281915e-01 -7.805851e-01 1.358777e-01 3.219681e+00 2.920213e-02 
3.235904e-01 4.555851e-02 6.798050e-01 2.446809e-09 9.927748e-01 -1.094149e+00 2.832447e-01 9.789894e-02 3.430674e+00 -1.728723e-02 
2.611968e-01 4.838830e-02 6.789184e-01 1.770213e-09 9.779699e-01 -1.139894e+00 -3.125000e-01 1.293351e-01 2.559397e+00 -1.941489e-02 
3.122606e-01 4.947340e-02 6.656206e-01 2.260993e-09 9.586436e-01 -7.452128e-01 2.034574e-01 1.039628e-01 3.574645e+00 1.526596e-02 
3.452926e-01 4.568617e-02 7.259043e-01 2.231206e-09 9.865691e-01 -1.081383e+00 -9.295213e-01 8.050532e-02 2.904433e+00 6.223404e-03 
2.615160e-01 4.915426e-02 6.803369e-01 2.385816e-09 9.895833e-01 -1.078191e+00 -9.029255e-01 1.100266e-01 3.457979e+00 -1.505319e-02 
2.910372e-01 4.781383e-02 7.267908e-01 2.014184e-09 9.538564e-01 -8.920213e-01 -1.555851e-01 1.416223e-01 2.663652e+00 2.781915e-02 
3.376330e-01 4.687766e-02 6.406206e-01 1.731915e-09 9.771720e-01 -1.120745e+00 1.476064e-01 8.162234e-02 3.008688e+00 -5.478723e-03 
2.725266e-01 4.943085e-02 6.404433e-01 1.848227e-09 9.684840e-01 -1.099468e+00 -5.279255e-01 9.231383e-02 3.567199e+00 -5.319149e-05 
3.173670e-01 4.638830e-02 6.923936e-01 2.375887e-09 9.954344e-01 -7.356383e-01 2.433511e-01 8.672872e-02 2.825000e+00 -2.196809e-02 
3.344415e-01 4.764362e-02 7.285638e-01 2.012766e-09 9.636968e-01 -1.230319e+00 -1.688830e-01 1.240691e-01 2.318617e+00 2.398936e-02 
2.781117e-01 4.701596e-02 7.014362e-01 1.981560e-09 9.701684e-01 -1.167553e+00 3.311170e-01 7.970745e-02 2.335993e+00 1.941489e-02 
2.996543e-01 4.634574e-02 6.571099e-01 1.751773e-09 9.920656e-01 -7.026596e-01 -7.194149e-01 1.135372e-01 3.115426e+00 -9.840426e-03 
3.416223e-01 4.992021e-02 7.152660e-01 2.458156e-09 9.642287e-01 -1.016489e+00 -3.577128e-01 1.221543e-01 3.254433e+00 -1.324468e-02 
2.844947e-01 4.607979e-02 7.381383e-01 2.441135e-09 9.902039e-01 -1.030319e+00 1.795213e-01 9.103723e-02 2.797695e+00 1.090426e-02 
3.025266e-01 4.713298e-02 6.464716e-01 1.756028e-09 9.649379e-01 -1.248404e+00 -5.718085e-02 1.397074e-01 3.321454e+00 -1.132979e-02 
3.387500e-01 5.084574e-02 6.847695e-01 2.022695e-09 9.755762e-01 -8.462766e-01 -9.933511e-01 8.944149e-02 2.457624e+00 -3.723404e-04 
2.686968e-01 4.561170e-02 6.735993e-01 2.238298e-09 9.822252e-01 -1.209043e+00 -9.880319e-01 7.029255e-02 2.787766e+00 -2.659574e-04 
2.940691e-01 4.748404e-02 7.365426e-01 1.885106e-09 9.837323e-01 -9.707447e-01 4.920213e-02 1.411436e-01 3.582092e+00 -2.420213e-02 
3.497606e-01 5.061170e-02 6.654433e-01 2.161702e-09 9.564273e-01 -8.888298e-01 -2.007979e-01 9.566489e-02 2.743085e+00 1.494681e-02 
2.600798e-01 4.592021e-02 7.134929e-01 1.758865e-09 9.791223e-01 -1.067553e+00 3.178191e-01 1.275798e-01 3.053369e+00 -1.069149e-02 
3.089096e-01 4.772872e-02 6.991312e-01 2.374468e-09 9.569592e-01 -7.196809e-01 -9.561170e-01 1.074734e-01 3.311525e+00 1.696809e-02 
3.374734e-01 4.963298e-02 6.459397e-01 2.059574e-09 9.931294e-01 -1.143085e+00 -3.869681e-01 7.364362e-02 2.539539e+00 -9.308511e-03 
2.771543e-01 4.642021e-02 6.728901e-01 2.112057e-09 9.996011e-01 -7.335106e-01 2.247340e-01 9.773936e-02 2.839894e+00 2.393617e-03 
2.935904e-01 5.007979e-02 6.895567e-01 2.356028e-09 9.699025e-01 -1.266489e+00 -5.119681e-01 1.278989e-01 3.554787e+00 -2.313830e-02 
3.347606e-01 4.810106e-02 7.195213e-01 1.879433e-09 9.510195e-01 -1.004787e+00 -3.630319e-01 6.726064e-02 2.651241e+00 1.856383e-02 
2.629521e-01 4.897340e-02 6.445213e-01 2.255319e-09 9.845301e-01 -1.071809e+00 -5.359043e-01 9.007979e-02 2.383156e+00 2.819149e-03 
3.149734e-01 4.964362e-02 6.835284e-01 1.897872e-09 9.521720e-01 -1.173936e+00 1.236702e-01 1.368351e-01 3.549823e+00 2.005319e-02 
3.393883e-01 4.533511e-02 7.069326e-01 1.967376e-09 9.687500e-01 -7.250000e-01 -2.114362e-01 8.497340e-02 2.832447e+00 -2.356383e-02 
2.897606e-01 4.883511e-02 6.962943e-01 2.246809e-09 9.899379e-01 -1.264362e+00 1.555851e-01 1.473670e-01 2.388121e+00 -3.457447e-03 
3.034840e-01 5.064362e-02 7.335284e-01 1.909220e-09 9.511968e-01 -8.452128e-01 -4.654255e-02 9.486702e-02 3.306560e+00 1.101064e-02 
3.398670e-01 4.566489e-02 6.425709e-01 2.058156e-09 9.757535e-01 -9.696809e-01 -6.289894e-01 6.757979e-02 2.807624e+00 -1.696809e-02 
2.605585e-01 4.750532e-02 7.088830e-01 2.371631e-09 9.511082e-01 -1.054787e+00 -3.390957e-01 8.146277e-02 3.165071e+00 -1.845745e-02 
2.972606e-01 5.079255e-02 6.530319e-01 1.893617e-09 9.947252e-01 -8.675532e-01 -6.236702e-01 1.266223e-01 3.261879e+00 2.659574e-04 
3.441755e-01 4.664362e-02 6.833511e-01 2.004255e-09 9.722961e-01 -1.232447e+00 4.082447e-01 9.039894e-02 2.437766e+00 1.728723e-02 
2.832181e-01 4.997340e-02 6.856560e-01 2.259574e-09 9.783245e-01 -7.420213e-01 3.390957e-01 1.184840e-01 2.326064e+00 1.909574e-02 
2.950266e-01 4.819681e-02 7.376064e-01 1.782979e-09 9.575798e-01 -9.484043e-01 -7.726064e-01 1.207181e-01 3.512589e+00 -1.441489e-02 
3.342819e-01 4.526064e-02 6.537411e-01 2.093617e-09 9.924202e-01 -1.273936e+00 -4.986702e-01 8.545213e-02 2.775355e+00 3.138298e-03 
