# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas 
2.557692e-01 4.628846e-02 6.071795e-01 1.566667e-09 9.388462e-01 -1.019808e+00 1.903846e-01 2.838462e-01 4.314231e+00 -5.256410e-03 
3.000769e-01 5.371154e-02 7.343590e-01 1.843590e-09 1.017308e+00 -4.832692e-01 -2.295513e+00 5.530769e-01 2.721923e+00 3.807692e-02 
3.743846e-01 4.075000e-02 6.892308e-01 2.787179e-09 8.780769e-01 1.367308e-01 -1.801923e+00 1.392308e-01 2.993205e+00 -2.166667e-02 
2.663846e-01 4.636538e-02 6.088205e-01 1.869231e-09 9.242308e-01 -9.959615e-01 -1.506410e-01 2.038462e-01 2.739615e+00 -4.987179e-02 
2.890000e-01 5.251923e-02 7.261538e-01 2.669231e-09 8.434615e-01 -7.694231e-01 -2.322436e+00 5.100000e-01 3.411923e+00 3.346154e-02 
3.550000e-01 4.178846e-02 6.916923e-01 1.217949e-09 1.021154e+00 1.923718e-01 -1.828846e+00 1.700000e-01 4.013462e+00 1.448718e-02 
2.760769e-01 4.909615e-02 7.023590e-01 2.546154e-09 1.019615e+00 -1.210577e+00 -2.654487e+00 4.161538e-01 3.500385e+00 -4.653846e-02 
2.802308e-01 5.178846e-02 6.006154e-01 1.930769e-09 8.457692e-01 2.480128e-01 -9.852564e-01 1.576923e-01 2.851667e+00 -1.038462e-02 
3.762308e-01 4.167308e-02 7.245128e-01 1.500000e-09 9.419231e-01 -5.866026e-01 -5.192308e-02 3.592308e-01 3.736282e+00 4.705128e-02 
2.770000e-01 4.336538e-02 6.564103e-01 2.833333e-09 8.057692e-01 -1.079423e+00 -8.955128e-01 3.884615e-01 3.400128e+00 -3.807692e-02 
2.913077e-01 4.867308e-02 7.306667e-01 2.033333e-09 1.096538e+00 -1.255769e-01 -2.627564e+00 5.461538e-02 3.954487e+00 -1.371795e-02 
3.591538e-01 5.236538e-02 6.477949e-01 1.279487e-09 9.757692e-01 -5.468590e-01 -5.814103e-01 5.238462e-01 2.686538e+00 4.628205e-02 
2.774615e-01 4.921154e-02 7.483077e-01 1.664103e-09 9.711538e-01 -3.044231e-01 -6.987179e-02 5.023077e-01 4.402692e+00 3.217949e-02 
2.820769e-01 4.001923e-02 6.153846e-01 2.335897e-09 8.634615e-01 -9.378205e-02 -1.936538e+00 2.515385e-01 3.600641e+00 -4.038462e-02 
3.730000e-01 5.478846e-02 6.748718e-01 1.900000e-09 1.031154e+00 -8.807051e-01 -1.685256e+00 1.000000e-02 2.775000e+00 -6.794872e-03 
2.290000e-01 4.744231e-02 6.486154e-01 2.494872e-09 9.773077e-01 -9.760897e-01 -2.681410e+00 5.153846e-02 3.093462e+00 -1.576923e-02 
3.346923e-01 4.378846e-02 6.822564e-01 1.100000e-09 8.180769e-01 -1.176282e-01 -1.604487e+00 4.976923e-01 2.456538e+00 2.551282e-02 
3.757692e-01 5.298077e-02 7.318974e-01 2.258974e-09 1.011923e+00 -6.660897e-01 2.262821e-01 3.992308e-01 4.060641e+00 -2.448718e-02 
2.202308e-01 5.309615e-02 7.298462e-01 1.535897e-09 9.357692e-01 -7.336538e-01 -7.051282e-03 4.076923e-02 3.541667e+00 -6.538462e-03 
3.383846e-01 4.436538e-02 6.141538e-01 1.987179e-09 1.087308e+00 -1.103269e+00 -2.510897e+00 3.315385e-01 3.948590e+00 -2.064103e-02 
3.494615e-01 4.532692e-02 6.929231e-01 2.653846e-09 8.734615e-01 2.360897e-01 -8.237179e-01 4.623077e-01 2.592179e+00 3.448718e-02 
2.576154e-01 4.617308e-02 6.395897e-01 1.002564e-09 1.028846e+00 -4.633974e-01 -1.602564e-02 4.807692e-01 2.474231e+00 -1.858974e-02 
2.922308e-01 4.232692e-02 7.113846e-01 2.966667e-09 9.250000e-01 -1.294038e+00 -2.537821e+00 3.223077e-01 3.429615e+00 2.012821e-02 
3.919231e-01 5.471154e-02 7.027692e-01 2.202564e-09 8.757692e-01 1.764744e-01 -7.250000e-01 1.884615e-01 3.801154e+00 1.423077e-02 
2.216154e-01 5.048077e-02 6.621538e-01 2.766667e-09 8.973077e-01 -4.514744e-01 -1.003205e+00 1.361538e-01 2.757308e+00 4.423077e-02 
3.111538e-01 4.386538e-02 7.384615e-01 1.161538e-09 1.067308e+00 -9.204487e-01 -2.376282e+00 2.776923e-01 4.385000e+00 2.948718e-03 
3.974615e-01 4.775000e-02 6.051282e-01 1.710256e-09 9.180769e-01 -1.851923e-01 -5.185897e-01 4.853846e-01 2.975513e+00 -3.987179e-02 
