# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas 
2.488462e-01 4.698077e-02 6.030769e-01 2.489744e-09 1.033462e+00 -7.391026e-02 -2.044231e+00 3.623077e-01 2.261923e+00 -1.410256e-03 
2.936154e-01 5.148077e-02 7.007179e-01 1.587179e-09 8.011538e-01 -3.282692e-01 -6.532051e-01 6.538462e-02 4.166795e+00 -3.089744e-02 
3.993077e-01 4.325000e-02 7.552821e-01 2.315385e-09 9.996154e-01 -1.095321e+00 -1.380128e+00 4.023077e-01 3.158333e+00 2.423077e-02 
2.557692e-01 4.628846e-02 6.071795e-01 1.566667e-09 9.388462e-01 -1.019808e+00 1.903846e-01 2.838462e-01 4.314231e+00 -5.256410e-03 
3.000769e-01 5.371154e-02 7.343590e-01 1.843590e-09 1.017308e+00 -4.832692e-01 -2.295513e+00 5.530769e-01 2.721923e+00 3.807692e-02 
3.743846e-01 4.075000e-02 6.892308e-01 2.787179e-09 8.780769e-01 1.367308e-01 -1.801923e+00 1.392308e-01 2.993205e+00 -2.166667e-02 
2.299231e-01 4.094231e-02 6.715897e-01 2.048718e-09 9.796154e-01 -3.998077e-01 1.089744e-02 5.700000e-01 3.742179e+00 -1.756410e-02 
3.166923e-01 5.448077e-02 6.523077e-01 1.074359e-09 1.004231e+00 -1.158910e+00 -2.869872e+00 2.530769e-01 3.010897e+00 -1.653846e-02 
3.545385e-01 4.705769e-02 7.109744e-01 2.843590e-09 8.819231e-01 -1.613462e-01 -1.353205e+00 3.000000e-02 2.651154e+00 3.782051e-02 
2.326923e-01 4.836538e-02 7.081026e-01 1.582051e-09 9.588462e-01 -1.278141e+00 -3.570513e-01 4.669231e-01 3.700897e+00 4.371795e-02 
2.899231e-01 4.225000e-02 6.838974e-01 2.735897e-09 1.060385e+00 2.321154e-01 -1.487821e+00 2.084615e-01 3.871923e+00 -3.115385e-02 
3.646923e-01 5.121154e-02 6.043077e-01 1.741026e-09 8.396154e-01 -7.575000e-01 -1.864744e+00 1.407692e-01 2.391667e+00 -1.551282e-02 
2.340769e-01 4.278846e-02 6.867692e-01 2.910256e-09 1.005000e+00 -6.382692e-01 -1.667308e+00 3.515385e-01 2.769103e+00 -4.756410e-02 
3.116154e-01 4.694231e-02 7.273846e-01 1.505128e-09 8.880769e-01 -1.039679e+00 -6.089744e-02 2.076923e-02 3.240897e+00 4.730769e-02 
3.859231e-01 5.032692e-02 6.342564e-01 1.694872e-09 9.457692e-01 6.121795e-02 -1.972436e+00 5.884615e-01 3.883718e+00 1.551282e-02 
